,purpose,amount
8214,yearly fund raiser,280.0
562,annual banquet sponsor aug 22 date,280.0
3530,golf tournament expenses,280.0
7091,sponsorship events,280.0
6525,rent of eugene northern hall for meetings,280.0
3380,fundraising expense - help with shrimp boil,280.0
7732,used t-posts,280.0
3543,golf tournement,280.0
4697,mileage q4 #3,279.33
510,advertising/sign post,279.22
7640,"tripod 16.99, castr/rev.com 18.74, mileage",279.19
6268,reimburse feb 12 ad hermann advertiser,279.0
279,ad for event,278.84
3270,frisbees,278.74
775,bear signs,278.66
5252,pens/stamp,278.65
903,brochure printing,278.56
4992,online donor fees,278.18
6984,snacks for volunteers,278.03
4248,lunch for dol staff,277.55
112,3 newspaper ads / $92.50 each,277.5
3712,holiday party,276.97
4117,lincoln day - printing,276.35
4717,missouri cattleman,276.3
6163,refreshments for fund-raiser,276.14
2092,d sports plaque reimbursement,276.08
5747,printing / advertising,275.78
7140,stamp,275.7
1077,campaign checks,275.56
2920,fair booth and liability insurance,275.0
3706,hole sponsorship in golf tournament,275.0
3704,hole sponsorship,275.0
4948,office supplies for campaign,275.0
5520,postage for club meeting mailing,275.0
4762,music,275.0
7146,stamps for fundraiser invitations,275.0
4451,mask order,275.0
278,ad for democrats,275.0
5534,postage for postcards,275.0
3596,graphics designs,275.0
7155,stamps- postage,275.0
3471,gift cards for city poll worker drawing,275.0
3847,internet for headquarters,275.0
7592,translation services,275.0
114,30 second video,275.0
2037,copy fee,275.0
2569,dues and fundraiser,275.0
3079,flowers for constituent funeral,274.76
2655,email access,274.75
3742,hotel for washington dc,274.73
929,buns and bread for golf tournment,274.71
3279,fulfillment,274.22
4265,"lunches, meals",274.19
3857,internet/phone,273.92
2229,did not include the processing fee for online dona,273.5
7330,t posts and cable ties,273.16999999999996
7281,supplies for headquarters,273.01
1300,campaign paper materials,273.01
5219,payroll service fee,272.95
2076,credit card processor fees,272.83
8063,website domain renewal,271.96
1005,campaign - radio advertisement,271.95
1643,ccard processing fees,271.72
4534,meat,271.51
4786,new hard drives,271.49
1658,cell servives,271.48
5187,payment for mileage and food to pickup signs,271.42
4250,lunch for eureka firefighters,271.24
1905,"concessions (chips, soda, candy)",271.16
2308,dining with politicians,271.15
1731,christmas ad,271.12
2799,event reception,270.81
7075,sponsored posts,270.71000000000004
3099,flyers and envelopes,270.53
5200,paypal credit card fees,270.50000000000006
4380,mailing postage,270.5
5184,payment for constant contact for communications ,270.0
6921,signs for rally,270.0
590,annual storage fee,270.0
7417,tax return preparation,270.0
858,booth at fair plus insurance,270.0
4698,mileage q4 #4,269.93
4916,office internet ,269.92
7326,t  shirts and cards,269.77
4471,materials/yard signs,269.75
5766,printing brochure,269.51
5290,phone service & equip,269.31
5882,pro-life yard signs,269.25
3104,"flyers, door hangers",269.05
1786,clothing item,269.0
4495,meal for staff,268.77
5598,posts with clips,268.5
2966,feeding fair show kids,268.25
7311,support candidates,268.09
3108,flyers/branding,268.07
389,advertisement sign,268.01
8117,will akin for sheriff t-shirts,268.0
6421,reimbursement for office expenses,267.98
3193,food for pollworkers,267.90999999999997
2317,dinner for retiring senators,267.27
1465,campaign van insurance,267.1
7869,volunteer supplies,266.77
1632,caucus junior class dinner,266.65
370,adverstising - news ads,266.4
4191,"literature, campaign graphics items",266.2
7526,this is an over payment,266.02
7525,this is an over pay,266.02
5850,printing-association banner,266.0
5164,party for workers,266.0
7712,tv for headquarters,266.0
7212,stickers for signs,265.98
6823,sign cover,265.88
3097,flyers & vinyl labels for signs,265.74
4219,lodging during caucus meetings,265.35
6264,reimburse courtyard- event hotel,265.12
7419,tax returns,265.0
5612,preparation of form 1099s,265.0
4815,newspapaer,265.0
5967,publicity photo,265.0
3608,greens fees for golf event,265.0
5472,pork steaks for bbq,264.76
3817,ink for printer,264.57
8118,willakinforsheriff.com yearly website fee,264.0
7987,web hosting/domain,264.0
8092,website set up,264.0
5411,political facilities ,263.95
3294,fundaiser invitation mailing,263.74
3305,fundraiser - refreshments,263.57
1161,campaign give away item,263.28
4081,letter head,263.23
2754,event costs,262.93
3389,fundraising invitations,261.85
7908,voter list dvd & august primary voter history,261.6
3523,golf sponsor signs,261.48
6143,re-elect sign riders,261.44
3257,framing costs,260.94
5794,printing large banners,260.33
4671,metal t posts ,260.29
8, phone lines/fax/ ,260.27
5109,"panera bread, aldi, schnucks",260.18
1586,cards and advertising,260.13
4034,lawn signs,260.04
5117,paper advertisement ,260.0
1798,clubhouse rental,260.0
6319,reimburse office food/snacks purchased at wa*lmart,260.0
2605,election day literature,259.92
741,banner signs,259.77
5703,printer ink and copying paper,259.41
1370,campaign sign stickers,259.19
4694,mileage q1 #2- see addendum,258.06
5796,printing leave behinds,258.04
1948,consulting - email launch,258.0
2663,email fees,258.0
7295,supplies for upcoming skeet shoot,257.8
3578,graphic arts design,257.75
4203,loan payment,257.66
7511,thank you cards and envelopes,257.19
6168,refreshments for volunteers,257.15999999999997
6293,reimburse for magnets (b&b creative) ck009,256.75
1350,campaign shirt materials,256.52
6692,schnuck's market-holiday party refreshments reimb,256.35
3254,frames for constitunants resolutions,256.19
7442,tees,256.0
3330,fundraiser meals,255.45
7544,tickets for lincoln banquet,255.41
6465,reimbursement- kirksville dems mileage,255.2
5716,printing & mailing postcard,255.04
2942,farmer's night,255.0
5497,post office box 6 months,254.0
5134,"paper, envelopes, ink",253.88
534,airpods for heaings,253.63
4205,local art for office ,253.54
3556,gop headquarters grand opening,253.44
5762,printing and mailing gotv postcards,253.35
6317,reimburse mailer supplies vista print & sam's club,253.14
4262,luncheon,253.1
1345,campaign rental for event,252.88
4927,office phone- uverse,252.73
3851,internet servic eoffice,252.5
1187,campaign launch,252.39
5123,paper for printer,252.26999999999998
4580,meet and greet food,252.26999999999998
2719,envelopes and lettehead,252.26
4901,odofest hall and beverage ,252.23
924,bumber stickers,252.2
5224,payroll tax - futa,252.0
5050,p.o. box payment,252.0
7041,soupfest room rent,252.0
2319,dinner for senate staff,251.85
7529,thru text,251.76
678,back-the-blue (drinks),251.68
2502,donor gifts,251.52
5334,picnic supplies,251.34
7594,transport fees,250.63
6443,reimbursement for walmart for office supplies,250.58
523,advetisement,250.43
1767,clean up day sponsorship,250.0
7089,sponsorship cliffhanger,250.0
4672,metal yard signs,250.0
7099,sponsorship of community event,250.0
1885,compliance work,250.0
1678,charitable contribution ,250.0
4642,membership fees,250.0
7012,social media design,250.0
6924,signs installation,250.0
1769,cleaning service,250.0
4620,meeting/food,250.0
7067,sponsor rodeo event,250.0
7066,sponsor of event,250.0
7046,spomsorship- high school,250.0
7002,social media and design artwork,250.0
2186,deposit on headquarters,250.0
7194,stationary design,250.0
1975,consulting:data analysis,250.0
5388,polar plunge,250.0
6542,rental car reimbursement,250.0
2399,dj for fundraiser,250.0
2841,exec director membership,250.0
2870,facebook ad run,250.0
2916,fair book ad,250.0
2919,fair booth & signs,250.0
6473,reimbursement/hrcc caucus,250.0
6453,"reimbursement of meal, entertainment",250.0
6434,reimbursement for signs purchased,250.0
2983,festival sponsor,250.0
3022,filing report late fees,250.0
6374,reimbursement - payment for caterer,250.0
3141,food donation ,250.0
6191,registration / ad book,250.0
3268,friends of fair sponsor,250.0
3474,gift cards poll workers,250.0
3515,golf insurance,250.0
3585,graphic design work,250.0
3627,hall deposit for future fund raiser,250.0
3630,hall rental fee,250.0
3634,hall rental for trump train event 3/7/20,250.0
3656,hanging banner/ad,250.0
5908,program sponsorship,250.0
5905,program ad,250.0
3684,health care,250.0
5880,pro life donation,250.0
3720,hosting fee,250.0
4068,legislative function  ,250.0
4037,leadership awards dinner - tickets,250.0
3850,internet media services (web page),250.0
6518,rent for office for hqs,250.0
6538,rental ,250.0
2428,donation -,250.0
4429,marketing consultation,250.0
2430,donation - 2 hole sponsor,250.0
2434,donation - covid-19 machine,250.0
2439,donation - hole sponsor,250.0
2442,donation - scholarship award,250.0
6798,shirts and hats,250.0
2458,donation for officer support,250.0
2488,donation toward purcharse of campaign signs,250.0
2568,dues and filing fees,250.0
5438,politics,250.0
6704,scholorship winner,250.0
6703,scholarship winner,250.0
6694,scholarship auction,250.0
5450,poll worker refreshments,250.0
2613,election dinner ,250.0
4485,mc for lincoln days,250.0
6618,return campaige contributions,250.0
6602,reserve for free bean feed,250.0
2746,event booth rental,250.0
2785,event mc,250.0
6571,republican banquet fee,250.0
2788,event meeeeetn,250.0
2816,event space deposit,250.0
2825,event sponsorship & membership,250.0
1571,car door magnets,250.0
6540,rental - rick brattin,250.0
6539,rental - eric burlison,250.0
4430,marketing expense,250.0
1581,card graphics,250.0
1922,configure emails using mailchimp,250.0
309,ad prepayment,250.0
7952,watch party food and drinks,250.0
7971,web design and hosting,250.0
803,biden campaign posters,250.0
1459,campaign travel ,250.0
166,50/50 winner,250.0
7398,table sponsor for event,250.0
192,a spoonful of history launch event,250.0
4763,music entertainment for meet the sheriff,250.0
7726,union membership,250.0
816,bill legal service,250.0
236,accounting/banking,250.0
889,breakfast for reps,250.0
8018,web/facebook and graphics,250.0
5265,petty cash for golf tournament,250.0
262,ad - zoom convention slide show,250.0
961,buy campaign signs,250.0
5094,palm card design,250.0
996,campagin video,250.0
7582,tractor pull advertising,250.0
1013,campaign ad in newspaper,250.0
7551,tickets to their gala,250.0
7549,tickets to mayor's shamrock charity ball,250.0
7547,tickets to fund raiser for music dept.,250.0
316,ad/sponsor,250.0
7759,van fees,250.0
8129,winterfest table,250.0
7264,summit sponsorship,250.0
1570,car detailed,250.0
501,advertising/ event tix,250.0
675,baby grace sponsorship,250.0
7785,venue rental for district convention,250.0
721,banking and report filing,250.0
69,2019 amended registration,250.0
7825,video voice over,250.0
7902,voter guide ad - non candidate/non issue,250.0
4724,mo democratic party-software exp reimb,250.0
7803,video clip,250.0
2045,corrugate plastic w/ stands,249.87
7531,thrutext,249.37
3095,flyers ,249.21
560,annual banquet,249.0
283,ad for nt,249.0
1145,campaign fliers,248.85
41,1500 post cards #1248,248.74
3198,food for school kids,248.73
3655,"handouts, banner, wall signs ",248.39
5370,po box annual rental,248.0
8150,wrist bands,248.0
806,biden stickers and buttoms,247.76
3748,hotel room for lincoln days,247.58
1393,campaign signs/advertisement ,247.52
3973,koozie cups,247.5
662,award,247.5
3418,fundrasing database management,247.49
7515,thank you dinner,247.39
395,advertisement stickers,247.0
7748,utility,246.67
6867,sign supplies ticket,246.26
6918,signs for fundraiser,246.0
1269,campaign mechandise ,245.92
3246,food/supplies/cooking food,245.82
3182,food for meeting ,245.65
3644,hand sanitizer  for eleciton day,245.5
2599,election cards,245.42
2975,fence post for signage,245.18
5335,picture framing for donation,244.91
906,brochures/fliers,244.8
6563,repayment for auction item for hrcc event,244.03
4243,lulnch for caucus,244.0
3153,food for caucus meeting,244.0
6059,"pushcards - door to door, meetings",243.88
271,ad design,243.75
1589,cards and signs,243.59
2467,donation khd,243.21
6809,shirts to exchange for donation,243.0
7635,tri-fold brochures,242.28
8050,"website builder, domain registration",241.98
845,board meetings,241.96
5777,printing envelopes,241.34
4095,letterhead for campaign,241.21
6203,reim. event exp - cosco,241.04
2387,distribution of surplus funds,240.68
3290,fund raiser food,240.39
859,booth decorations,240.31
2733,ethics fees,240.12
5442,poll aprons,240.0
6063,quick service mail permit,240.0
7644,trivia night donation,240.0
5995,"purchase of aluminum, large cups",240.0
2934,fair/event,240.0
5972,pulse add,240.0
2933,fair sponsorships,240.0
7731,used poles  for signs,240.0
4972,onilne services,240.0
297,ad in the pulse,240.0
7812,video equipment,240.0
2409,domain fees,240.0
8080,website maintenance/hosting,240.0
4126,lincoln day dinner,240.0
7061,sponsor first ladies ad in paper,240.0
1136,campaign expense-biden signs,240.0
4597,meeting in the park,240.0
4982,online contribution fees,239.89999999999998
593,annual website domain registration,239.88
7493,texting program,239.0
6471,reimbursement-see addendum,238.5
6658,"room rent, refreshments",238.3
7343,t-post ,237.82
5539,postage postmaster for target mailing,237.5
6990,social media ,237.5
5740,printing - sign labels,237.49
3199,food for senate staff,237.37
7507,thank you ads,237.3
881,brats for grilling,237.23
2432,donation - antonia elementary school,236.91
330,additional yard signs with stakes,236.91
5359,plastic door hangers,236.83999999999997
6368,reimbursement - democratic women's club mileage,236.64
4608,meeting room & food,236.27
4778,nbcsl hotel (one night),236.17
